Team,Elo
Spain,1777.3695203544198
Argentina,1758.2702600573664
France,1738.6314663489388
Netherlands,1710.2525667839889
Brazil,1686.68897274015
England,1680.0813484075406
Italy,1675.614691469745
Colombia,1665.7351421556932
Nigeria,1650.5241495684338
Germany,1648.3795722758898
Senegal,1643.1586771406917
Uruguay,1634.479093937521
Portugal,1633.2348773923138
Morocco,1630.0611121693967
Belgium,1617.240904002628
Switzerland,1603.2656735296173
Croatia,1599.0558712785157
Japan,1598.9271666483778
Sweden,1597.6154296064597
Ivory Coast,1595.8973972239828
Egypt,1585.1420208533439
Iran,1566.8622032215162
Jordan,1564.7396540798202
Czechoslovakia,1563.1658130454234
Austria,1562.4809393080093
Cameroon,1557.0987894405043
Algeria,1553.6843377408168
Uzbekistan,1552.097294003432
Chile,1547.50261990091
Cape Verde,1546.1342960121874
Norway,1544.192771175575
Mali,1541.1603742060865
Iraq,1541.0549396793897
South Korea,1537.125831826088
Australia,1530.2779764256875
DR Congo,1529.6147402693844
Tunisia,1528.9434730252015
Turkey,1525.478070861205
German DR,1522.3502390802967
Israel,1522.008028401242
Curaçao,1520.8579825089937
South Africa,1519.5227309138231
Ghana,1518.598335079796
Denmark,1516.710796424682
Czech Republic,1516.2596971728349
Ecuador,1514.990922193293
Bosnia and Herzegovina,1513.9637672678316
Yugoslavia,1510.7467498195447
Mexico,1509.0012897727008
Myanmar,1507.0098885318773
Georgia,1505.7862655858173
Russia,1504.7593897854365
Madagascar,1503.7924035756291
Peru,1503.4233022746735
Qatar,1502.0130044362713
Libya,1501.7273162162296
Zambia,1501.5614861184001
Republic of Ireland,1501.1013175054827
Rwanda,1498.9159368076707
Saudi Arabia,1496.5910434185912
Finland,1496.271854213672
New Zealand,1493.5610804536932
Romania,1492.2914766133822
Liberia,1490.9996756678388
Singapore,1490.3058803078752
Angola,1490.1551302228415
Cambodia,1488.4456823383657
Paraguay,1488.420643511577
Iceland,1487.670964004595
Cuba,1487.3268500952195
Yemen DPR,1486.848580387295
Tajikistan,1484.891245094499
Latvia,1484.0982432468713
Hungary,1483.3858334880676
Slovakia,1482.9076064199924
Albania,1482.8326162580754
Slovenia,1480.8936775524253
Equatorial Guinea,1479.6550329003217
Gambia,1479.1082732103355
Taiwan,1478.525632119125
Guinea,1477.6943120458775
Costa Rica,1475.2228559766988
Mauritius,1474.2379522292333
Sierra Leone,1472.993145911449
Comoros,1472.6873251751126
Malawi,1471.563108458729
China PR,1471.1600912980693
Ukraine,1470.8497991492281
Burundi,1470.2537745083705
Trinidad and Tobago,1468.6174114552957
Bangladesh,1468.1718428720005
Panama,1467.9240713411118
Niger,1466.1830123014222
Poland,1465.9792747548738
Northern Ireland,1465.3364975805464
Congo,1464.9676808527881
Greece,1463.2858049533436
United States,1463.1740711672385
Syria,1462.5149012507868
Philippines,1462.4532483233813
Gabon,1461.0653976906817
Wales,1458.3861235040815
Vietnam Republic,1457.382202406134
Yemen,1456.1650759611464
Bahrain,1456.0179347437966
Burkina Faso,1454.0130100218892
Oman,1453.9781358639789
Haiti,1453.6427165647926
United Arab Emirates,1451.7008917320056
Turkmenistan,1450.1864890754805
Scotland,1450.1531250639732
Palestine,1450.0781971817207
Canada,1449.714392663421
Venezuela,1446.611097379176
North Macedonia,1446.19948396068
Kyrgyzstan,1445.259651966212
Kuwait,1442.8222956259171
Lebanon,1436.6076467552944
Botswana,1435.3519199137827
Serbia,1435.2823135749736
Vietnam,1435.171017834642
Malaysia,1434.6327542026654
Kenya,1433.0851448850183
Tanzania,1432.3042909879146
Benin,1428.0837377395242
Zimbabwe,1425.7339188460744
Namibia,1423.887991860862
Thailand,1423.2544307167984
Uganda,1422.1689069455183
Honduras,1420.4219622108685
Mauritania,1420.1616303551991
Sudan,1412.0372281895454
Guinea-Bissau,1410.2126740842662
Mozambique,1409.0012671038428
Ethiopia,1403.385409130374
India,1402.787790156651
Hong Kong,1402.5700742083898
Bulgaria,1401.6525006948427
Indonesia,1395.3803138381593
Togo,1388.9609265672175
El Salvador,1386.024734490887
North Korea,1361.2293500606852
Jamaica,1356.6739554799074
Bolivia,1243.7617969920134
