Team,Group Stage,Round of 32,Round of 16,Quarter-Final,Semi-Final,Finalist,Champion
Ghana,100.0,35.6,11.2,3.2,1.1,0.3,0.1
Bosnia and Herzegovina,100.0,35.8,14.1,5.0,1.1,0.2,0.0
Sweden,100.0,36.4,12.9,8.0,5.4,2.2,0.6
Colombia,100.0,27.9,23.2,16.9,22.4,12.9,6.5
Spain,100.0,27.8,19.9,12.0,37.1,23.4,15.3
Canada,100.0,29.6,13.2,3.0,1.1,0.2,0.0
Senegal,100.0,29.5,23.6,13.6,14.6,7.1,3.0
Brazil,100.0,37.4,19.2,16.2,23.0,12.8,6.2
Netherlands,100.0,34.9,15.3,17.4,22.0,12.8,7.3
England,100.0,30.1,22.9,17.4,23.7,13.5,7.1
Croatia,100.0,38.1,24.0,12.5,10.6,4.3,1.7
Norway,100.0,29.1,14.0,5.3,2.6,0.7,0.1
Ivory Coast,100.0,40.1,21.0,8.1,5.5,2.0,0.7
Portugal,100.0,32.3,24.4,14.3,15.2,7.6,3.5
Austria,100.0,42.3,13.6,7.4,5.3,1.7,0.6
Egypt,100.0,35.2,25.4,11.5,5.9,2.1,0.7
Japan,100.0,34.8,16.2,11.6,10.3,4.4,2.0
Switzerland,100.0,33.8,31.9,14.5,11.8,5.2,2.0
Argentina,100.0,32.3,15.3,13.9,33.7,21.9,12.7
Germany,100.0,34.7,27.4,13.3,17.4,8.1,4.3
Ecuador,100.0,42.5,18.2,6.1,3.5,1.0,0.4
Morocco,100.0,42.2,18.5,14.9,16.5,7.5,3.3
Belgium,100.0,30.8,26.6,17.6,13.6,6.1,2.5
United States,100.0,34.4,15.6,5.7,2.5,0.8,0.3
France,100.0,25.4,24.3,13.4,30.0,18.9,11.3
Czech Republic,100.0,40.0,19.9,6.7,2.7,0.8,0.3
Scotland,100.0,38.0,8.5,3.3,0.9,0.2,0.0
Turkey,100.0,44.6,21.0,8.1,3.8,1.3,0.4
South Korea,100.0,40.1,25.3,8.4,4.7,1.5,0.5
Australia,100.0,45.2,24.0,9.4,5.6,2.2,0.7
Mexico,100.0,37.2,21.0,6.8,3.6,1.0,0.2
Saudi Arabia,100.0,24.2,6.0,2.5,0.6,0.1,0.0
Iran,100.0,33.2,25.8,15.6,10.3,4.2,1.6
DR Congo,100.0,29.2,13.0,3.7,1.6,0.3,0.1
Uruguay,100.0,40.9,18.8,11.2,14.0,6.8,3.0
Qatar,100.0,38.1,25.5,7.5,3.8,0.9,0.2
Paraguay,100.0,35.1,11.0,3.3,0.9,0.2,0.0
Algeria,100.0,37.3,11.5,5.7,2.9,1.0,0.3
South Africa,100.0,35.9,14.4,4.9,1.3,0.3,0.1
Cape Verde,100.0,32.0,7.6,3.5,1.3,0.3,0.1
Panama,100.0,24.9,6.7,1.5,0.5,0.0,0.0
Uzbekistan,100.0,25.8,11.0,3.3,1.2,0.3,0.0
Iraq,100.0,25.9,8.8,3.0,1.2,0.4,0.1
Haiti,100.0,20.0,2.4,0.5,0.1,0.0,0.0
Jordan,100.0,31.3,7.4,2.8,1.2,0.3,0.1
Tunisia,100.0,29.2,10.1,3.7,1.9,0.4,0.1
New Zealand,100.0,14.4,3.3,0.6,0.1,0.0,0.0
Curaçao,100.0,24.2,5.0,1.0,0.2,0.0,0.0
