Favorite,Underdog,Upset_Prob,Favorite_Elo,Underdog_Elo
Curaçao,Czech Republic,58.0,1516.3,1520.9
Curaçao,South Africa,56.7,1519.5,1520.9
Curaçao,Ecuador,56.6,1515.0,1520.9
Uzbekistan,South Korea,56.6,1537.1,1552.1
Iraq,Australia,56.4,1530.3,1541.1
Haiti,Scotland,56.2,1450.2,1453.6
Curaçao,Mexico,55.9,1509.0,1520.9
Jordan,Algeria,55.5,1553.7,1564.7
Norway,Australia,55.1,1530.3,1544.2
Bosnia and Herzegovina,Mexico,54.8,1509.0,1514.0
Uzbekistan,Mexico,54.7,1509.0,1552.1
Egypt,Iran,54.2,1566.9,1585.1
Uzbekistan,Australia,54.1,1530.3,1552.1
Portugal,Belgium,53.4,1617.2,1633.2
Jordan,Austria,53.2,1562.5,1564.7
Panama,United States,52.9,1463.2,1467.9
Sweden,Australia,52.4,1530.3,1597.6
Sweden,Iran,52.3,1566.9,1597.6
Haiti,Canada,52.2,1449.7,1453.6
Uzbekistan,Norway,51.8,1544.2,1552.1
France,Colombia,51.8,1665.7,1738.6
Cape Verde,Australia,51.3,1530.3,1546.1
Curaçao,Qatar,51.1,1502.0,1520.9
Curaçao,Ghana,51.0,1518.6,1520.9
Egypt,Australia,50.8,1530.3,1585.1
England,Colombia,50.7,1665.7,1680.1
Portugal,Morocco,50.5,1630.1,1633.2
Uzbekistan,Cape Verde,50.5,1546.1,1552.1
Curaçao,Saudi Arabia,50.3,1496.6,1520.9
Cape Verde,Norway,50.3,1544.2,1546.1
Uzbekistan,Iraq,50.3,1541.1,1552.1
Curaçao,Bosnia and Herzegovina,50.2,1514.0,1520.9
France,Netherlands,49.9,1710.3,1738.6
Jordan,Mexico,49.3,1509.0,1564.7
Iraq,Mexico,49.0,1541.1,1509.0
Netherlands,Portugal,48.7,1633.2,1710.3
Ecuador,Mexico,48.4,1509.0,1515.0
France,Germany,48.3,1648.4,1738.6
Sweden,Ivory Coast,47.9,1595.9,1597.6
Bosnia and Herzegovina,Qatar,47.5,1502.0,1514.0
Egypt,Austria,47.4,1562.5,1585.1
Switzerland,Japan,47.3,1598.9,1603.3
Uzbekistan,United States,47.2,1463.2,1552.1
Cape Verde,Mexico,47.2,1546.1,1509.0
Ivory Coast,Iran,47.2,1566.9,1595.9
Ghana,Mexico,47.1,1509.0,1518.6
Cape Verde,United States,47.1,1463.2,1546.1
Iraq,Mexico,47.1,1509.0,1541.1
Sweden,Egypt,47.0,1585.1,1597.6
Cape Verde,Mexico,46.9,1509.0,1546.1
DR Congo,Qatar,46.8,1502.0,1529.6
Jordan,Australia,46.8,1530.3,1564.7
Bosnia and Herzegovina,United States,46.7,1463.2,1514.0
South Africa,Qatar,46.7,1502.0,1519.5
Panama,Scotland,46.5,1450.2,1467.9
