Team,WinProbability
Spain,15.32
Argentina,12.72
France,11.34
Netherlands,7.32
England,7.06
Colombia,6.5
Brazil,6.239999999999999
Germany,4.32
Portugal,3.52
Morocco,3.26
Senegal,3.02
Uruguay,3.02
Belgium,2.5
Switzerland,2.0
Japan,1.96
Croatia,1.72
Iran,1.5599999999999998
Ivory Coast,0.74
Egypt,0.7000000000000001
Australia,0.6799999999999999
Austria,0.64
Sweden,0.6
South Korea,0.45999999999999996
Turkey,0.42
Ecuador,0.36
Czech Republic,0.32
United States,0.26
Algeria,0.26
Qatar,0.2
Mexico,0.18
DR Congo,0.12
Norway,0.12
Tunisia,0.12
Jordan,0.1
Iraq,0.08
Ghana,0.06
South Africa,0.06
Cape Verde,0.06
Uzbekistan,0.04
Scotland,0.04
Bosnia and Herzegovina,0.0
Canada,0.0
Saudi Arabia,0.0
Paraguay,0.0
Haiti,0.0
Panama,0.0
New Zealand,0.0
Curaçao,0.0
